"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2014,10,30,1,0,6.37
2014,10,30,3,0,6.37
2014,10,30,5,0,6.471
2014,10,30,7,0,6.573
2014,10,30,9,0,6.674
2014,10,30,11,0,6.877
2014,10,30,13,0,6.978
2014,10,30,15,0,7.179
2014,10,30,17,0,7.28
2014,10,30,19,0,7.28
2014,10,30,21,0,7.179
2014,10,30,23,0,7.179
2014,10,31,1,0,7.179
2014,10,31,3,0,6.978
2014,10,31,5,0,6.978
2014,10,31,7,0,6.877
2014,10,31,9,0,6.775
2014,10,31,11,0,6.37
2014,10,31,13,0,6.37
2014,10,31,15,0,6.37
2014,10,31,17,0,6.37
2014,10,31,19,0,6.166
2014,10,31,21,0,6.064
2014,10,31,23,0,5.86
2014,11,1,1,0,5.655
2014,11,1,3,0,5.45
2014,11,1,5,0,5.244
2014,11,1,7,0,5.141
2014,11,1,9,0,5.037
2014,11,1,11,0,5.037
2014,11,1,13,0,5.347
2014,11,1,15,0,5.45
2014,11,1,17,0,5.45
2014,11,1,19,0,5.347
2014,11,1,21,0,5.244
2014,11,1,23,0,5.141
2014,11,2,1,0,5.141
2014,11,2,3,0,5.141
2014,11,2,5,0,5.141
2014,11,2,7,0,4.934
2014,11,2,9,0,4.934
2014,11,2,11,0,5.037
2014,11,2,13,0,5.141
2014,11,2,15,0,5.45
2014,11,2,17,0,5.45
2014,11,2,19,0,5.347
2014,11,2,21,0,5.347
2014,11,2,23,0,5.347
2014,11,3,1,0,5.45
2014,11,3,3,0,5.45
2014,11,3,5,0,5.655
2014,11,3,7,0,5.757
2014,11,3,9,0,5.86
2014,11,3,11,0,6.064
2014,11,3,13,0,6.268
2014,11,3,15,0,6.471
2014,11,3,17,0,6.471
2014,11,3,19,0,6.471
2014,11,3,21,0,6.471
2014,11,3,23,0,6.471
2014,11,4,1,0,6.37
2014,11,4,3,0,6.471
2014,11,4,5,0,6.573
2014,11,4,7,0,6.877
2014,11,4,9,0,6.877
2014,11,4,11,0,6.877
2014,11,4,13,0,6.877
2014,11,4,15,0,6.978
2014,11,4,17,0,6.877
2014,11,4,19,0,6.775
2014,11,4,21,0,6.573
2014,11,4,23,0,6.37
2014,11,5,1,0,6.268
2014,11,5,3,0,6.166
2014,11,5,5,0,6.064
2014,11,5,7,0,6.166
2014,11,5,9,0,6.268
2014,11,5,11,0,6.471
2014,11,5,13,0,6.775
2014,11,5,15,0,7.079
2014,11,5,17,0,7.179
2014,11,5,19,0,7.28
2014,11,5,21,0,7.28
2014,11,5,23,0,7.381
2014,11,6,1,0,7.381
2014,11,6,3,0,7.481
2014,11,6,5,0,7.582
2014,11,6,7,0,7.682
2014,11,6,9,0,7.682
2014,11,6,11,0,7.582
2014,11,6,13,0,7.582
2014,11,6,15,0,7.381
2014,11,6,17,0,7.28
2014,11,6,19,0,6.775
2014,11,6,21,0,5.037
2014,11,6,23,0,5.347
2014,11,7,1,0,5.552
2014,11,7,3,0,5.552
2014,11,7,5,0,5.45
2014,11,7,7,0,5.244
2014,11,7,9,0,5.037
2014,11,7,11,0,4.934
2014,11,7,13,0,5.037
2014,11,7,15,0,5.141
2014,11,7,17,0,5.141
2014,11,7,19,0,5.037
2014,11,7,21,0,4.934
2014,11,7,23,0,4.727
2014,11,8,1,0,4.623
2014,11,8,3,0,4.623
2014,11,8,5,0,4.623
2014,11,8,7,0,4.623
2014,11,8,9,0,4.623
2014,11,8,11,0,4.727
2014,11,8,13,0,4.831
2014,11,8,15,0,5.037
2014,11,8,17,0,5.244
2014,11,8,19,0,5.347
2014,11,8,21,0,5.45
2014,11,8,23,0,5.45
2014,11,9,1,0,5.552
2014,11,9,3,0,5.552
2014,11,9,5,0,5.655
2014,11,9,7,0,5.655
2014,11,9,9,0,5.552
